1, 16000081, 2016-03-23, 16:51:58, S
2, 16000078, 2016-03-23, 16:52:07, S
3, 16000075, 2016-03-23, 16:52:10, S
4, 16000043, 2016-03-23, 16:52:19, S
5, 16000022, 2016-03-23, 16:52:22, S
6, 16000280, 2016-03-23, 16:52:29, S
7, 16000112, 2016-03-23, 16:52:35, S
8, 16000200, 2016-03-23, 16:52:38, S
9, 16000214, 2016-03-23, 16:52:41, S
10, 16000120, 2016-03-23, 16:52:45, S
11, 16000012, 2016-03-23, 16:52:53, S
12, 16000284, 2016-03-23, 16:52:56, S
13, 16000142, 2016-03-23, 16:53:02, S
14, 16000249, 2016-03-23, 16:53:08, S
15, 16000158, 2016-03-23, 16:53:22, S
16, 16000175, 2016-03-23, 16:53:33, S
17, 16000266, 2016-03-23, 16:53:36, S
18, 16000274, 2016-03-23, 16:53:38, S
19, 16000180, 2016-03-23, 16:53:41, S
